,Brand,Model,Body,Transmission,Year,Fule,Engine_CC,Kilometers_Driven,Color,City,Price
0,Volkswagen,Beetle,Hatchback,Manual,1975,Gas,1600,100000,Blue,Heliopolis,60000
1,Nissan,Qashqai,SUV,Automatic,2022,Gas,1300,8500,Blue,Cairo,850000
2,Kia,Sportage,SUV,Automatic,2021,Gas,1600,31000,Gray,Suez,930000
3,Mercedes,C 200,Sedan,Automatic,2019,Gas,1500,90000,White,Heliopolis,320000
4,Land Rover,Defender,4X4,Automatic,2021,Gas,2000,8000,Mocha,Heliopolis,1000000
5,Mercedes,S 500,Sedan,Automatic,2021,Gas,3000,2600,Black,Heliopolis,1500000
6,Mercedes,CLA 180,Sedan,Automatic,2022,Gas,1333,10,Gold,Heliopolis,300000
7,Land Rover,Velar,4X4,Automatic,2021,Gas,2000,0,White,Heliopolis,650000
8,Hyundai,Tucson Turbo GDI,SUV,Automatic,2019,Gas,1600,105000,Gray,Tagamo3 - New Cairo,750000
9,Mercedes,E 200,Sedan,Automatic,2022,Gas,2000,20,Blue,Nasr city,3100000
10,Daewoo,Lanos 2,Sedan,Manual,2008,Gas,1500,175000,Silver,Damietta,130000
11,Chery,Tiggo 7,SUV,Automatic,2021,Gas,1500,40503,Dark red,Cairo,555000
13,Nissan,Sunny,Sedan,Automatic,2022,Gas,1500,22964,Black,Cairo,400000
14,Chevrolet,Optra,Sedan,Automatic,2021,Gas,1500,100827,Bronze,Cairo,370000
15,Toyota,Corolla,Sedan,Automatic,2019,Gas,1600,48108,Black,Cairo,695000
16,Toyota,Belta,Sedan,Automatic,2022,Gas,1500,1174,Dark red,Cairo,580000
17,Hyundai,Tucson,SUV,Automatic,2019,Gas,1600,94213,Red,Cairo,870000
18,Hyundai,Tucson,SUV,Automatic,2018,Gas,1600,63364,Silver,Cairo,800000
19,Jeep,Wrangler,4X4,Automatic,2010,Gas,1600,118886,Red,Cairo,660000
21,Hyundai,Accent HCI,Sedan,Automatic,2020,Gas,1600,23500,Silver,Heliopolis,465000
22,Skoda,Fantasia,Sedan,Automatic,2009,Gas,1600,235000,Silver,Cairo,380000
23,Kia,Grand Cerato,Sedan,Automatic,2021,Gas,1600,35000,Red,El Haram,655000
24,Hyundai,Elantra CN7,Sedan,Automatic,2022,Gas,1600,35000,White,El Haram,600000
25,MG,5,Sedan,Automatic,2022,Gas,1500,20000,Black,El Haram,510000
26,MG,5,Sedan,Automatic,2022,Gas,1500,31000,Champagne,Cairo,510000
27,Hyundai,Elantra CN7,Sedan,Automatic,2021,Gas,1600,50000,Blue,Cairo,700000
28,Speranza,A516,Sedan,Manual,2009,Gas,1600,200000,Black,Cairo,80000
29,Citroën,C4,Sedan,Automatic,2020,Gas,1600,40000,Dark green,Tagamo3 - New Cairo,675000
30,Fiat,Regata,Sedan,Manual,1986,Gas,1500,150000,White,Cairo,48000
31,Nissan,Sunny,Sedan,Automatic,2011,Gas,1600,140000,Black,Faqous,265000
32,Hyundai,Elantra HD,Sedan,Automatic,2023,Gas,1600,1000,Gray,Maadi,565000
33,Byd,F3R,Hatchback,Manual,2015,Gas,1500,180000,Dark red,Sharqia,190000
34,Daihatsu,Terios,SUV,Automatic,2010,Gas,1600,175000,Black,Suez,240000
35,Chevrolet,Lanos,Sedan,Manual,2014,Gas,1600,160000,Light grey,Bilbeis,160000
36,Renault,Logan,Sedan,Manual,2014,Gas,1600,35000,Blue,10th of Ramadan,190000
37,Citroën,C4 Picasso,MiniVans,Manual,2003,Gas,2000,115000,Silver,Tagamo3 - New Cairo,150000
38,Opel,Insignia,Sedan,Automatic,2017,Gas,1600,225000,Dark red,Tagamo3 - New Cairo,565000
39,Peugeot,504,Sedan,Manual,1981,Gas,2000,200000,Beige,Helwan,55000
40,Alfa Romeo,156,Sedan,Automatic,2005,Gas,2500,85000,Black,Mansoura,250000
41,Renault,Duster,SUV,Manual,2017,Gas,1600,110000,Dark blue,Alexandria,350000
42,Kia,Sportage,SUV,Automatic,2022,Gas,1600,5000,Dark red,Tanta,1100000
43,Fiat,Punto,Hatchback,Manual,1995,Gas,1300,250000,Green,Giza,75000
44,Haima,S5,Sedan,Automatic,2018,Gas,1600,32000,Green,Alexandria,378000
45,Jeep,Wrangler,4X4,Automatic,2018,Gas,3900,79000,Black,Tagamo3 - New Cairo,1200000
46,Chevrolet,Optra,Sedan,Automatic,2022,Gas,1300,35000,Gray,Nasr city,430000
47,Speranza,M11,Sedan,Manual,2011,Gas,1600,222000,Silver,Shobra,130000
48,Kia,Cerato,Sedan,Automatic,2009,Gas,1600,97000,Silver,Kafr el-Sheikh,280000
49,Hyundai,Elantra MD,Sedan,Automatic,2016,Gas,1600,100000,Silver,El Manial,385000
50,Kia,Carens,MiniVans,Automatic,2012,Gas,1600,70000,Gold,Nasr city,385000
51,Volkswagen,CC,Sedan,Automatic,2012,Gas,1400,140000,White,10th of Ramadan,700000
52,Mercedes,GLC 200,SUV,Automatic,2015,Gas,1600,178500,Gray,Khanka,810000
53,MG,5,Sedan,Automatic,2022,Gas,1600,25000,White,Alexandria,525000
54,Subaru,XV,SUV,Automatic,2019,Gas,1600,225000,Red,Cairo,670000
55,Toyota,C-HR,SUV,Automatic,2017,Gas,1200,69000,Silver,Kafr El Zayat,600000
56,BMW,318,Sedan,Automatic,2019,Gas,1500,8000,Dark blue,Tagamo3 - New Cairo,1400000
57,Haval,Jolion,SUV,Automatic,2022,Gas,1500,27000,White,Madinaty,730000
58,Peugeot,405,Sedan,Manual,1993,Gas,1600,200000,White,Minya Al Qamh,55000
59,Opel,Vectra,Sedan,Automatic,1997,Gas,1600,300000,White,El Haram,155000
60,BMW,318,Sedan,Automatic,2018,Gas,1500,132000,Light grey,Heliopolis,870000
61,Jeep,Wrangler,4X4,Automatic,2017,Gas,3400,67000,Gray,6 October,1150000
62,Renault,MCV,MiniVans,Manual,2014,Gas,1600,140000,Dark red,Cairo,150000
63,Honda,City,Sedan,Automatic,2009,Gas,1500,190000,Blue,Cairo,250000
64,Mitsubishi,Lancer Crystala,Sedan,Manual,1984,Gas,1300,50000,Light grey,Cairo,35000
65,Hyundai,Elantra HD,Sedan,Automatic,2020,Gas,1600,67000,Eggplant,Zamalek,430000
66,Hyundai,Matrix,Hatchback,Automatic,2006,Gas,1600,200000,Gold,Ismailia,280000
67,MG,HS,SUV,Automatic,2021,Gas,1500,32000,Black,Nasr city,750000
68,Volkswagen,Polo,Hatchback,Manual,2009,Gas,1400,70000,Gray,Cairo,180000
69,Fiat,Regata,Sedan,Manual,1985,Gas,1500,222655,Blue,Sheikh Zayed City,35000
70,Peugeot,505,Sedan,Manual,1984,Gas,3000,200000,Gold,Sharqia,65000
71,Renault,Megane,Sedan,Automatic,2021,Gas,1600,27000,Mocha,Tagamo3 - New Cairo,620000
72,Toyota,Corolla,Sedan,Automatic,2019,Gas,1600,14000,Black,Sheikh Zayed City,655000
73,Kia,Rio,Sedan,Automatic,2013,Gas,1400,66000,Light grey,Shobra,450000
74,Seat,Leon,Hatchback,Automatic,2020,Gas,1600,28690,Dark red,Cairo,750000
75,Mercedes,C 200,Sedan,Automatic,2019,Gas,1600,62000,Black,Maadi,1550000
76,Kia,Picanto,Hatchback,Automatic,2017,Gas,1200,60000,Dark red,Damietta,360000
77,Chery,Arrizo 5,Sedan,Automatic,2022,Gas,1500,24000,Gray,Cairo,350000
78,Hyundai,Elantra CN7,Sedan,Automatic,2021,Gas,1600,48000,White,Banha,700000
79,Peugeot,3008,SUV,Automatic,2016,Gas,1600,73000,Brown,Heliopolis,470000
80,Kia,Cerato,Sedan,Automatic,2018,Gas,1600,60000,Silver,Heliopolis,560000
81,Suzuki,Vitara,SUV,Manual,2008,Gas,1600,45000,Silver,Dokki,320000
82,Volkswagen,Passat,Sedan,Automatic,2019,Gas,1400,83000,Gray,Tagamo3 - New Cairo,870000
83,Skoda,Octavia A4,Sedan,Automatic,2003,Gas,1600,90000,Silver,Cairo,210000
84,Chevrolet,Optra,Sedan,Automatic,2007,Gas,1600,155000,Blue,Tagamo3 - New Cairo,190000
85,Chevrolet,Lanos,Sedan,Manual,2015,Gas,1500,210000,Dark red,Heliopolis,152000
86,Mercedes,E 200,Sedan,Automatic,1997,Gas,1600,500000,Silver,Maadi,300000
87,Opel,Insignia,Sedan,Automatic,2014,Gas,1600,170000,Gray,6 October,500000
88,Nissan,Sunny,Sedan,Automatic,2018,Gas,1600,55000,Gold,Tagamo3 - New Cairo,345000
89,Seat,Ibiza,Sedan,Automatic,2021,Gas,1600,50000,Silver,Damietta,540000
90,Kia,Grand Cerato,Sedan,Automatic,2020,Gas,1600,27000,Gray,Beni Suef,650000
91,BMW,318,Sedan,Automatic,1985,Gas,1800,180000,Beige,Giza,78000
92,Hyundai,Elantra MD,Sedan,Automatic,2012,Gas,1600,170000,Gray,Shibin el Kom,425000
